reference,prediction,wer,cer
edebiyyat uzre prezident teqaudcusudur,edebiyyat uzre prezidente qayitcidir,0.5,0.2631578947368421
siyasi movzularda bir nece kitabin muellifidir,siyasi movzularda bir nece kitabin muellifleridir,0.16666666666666666,0.06521739130434782
lokal sebekeler en geniş yayilmiş sebeke novudur,lokal sebetciler en geniş yağ ilmi sebetce novudur,0.5714285714285714,0.16666666666666666
mahmud ailenin yegane oğul ovladi olmuşdur,mahmud haylenin yegani oğul evladi olmuşdu,0.6666666666666666,0.11904761904761904
daun sindromu ile doğulan uşaqlarla erken meşğul olmaq lazimdir,downs sindromu ile doğulan sexlerinen erkem meşğul olmaq lazimdir,0.3333333333333333,0.20634920634920634
ikinci eserinde oktyabr inqilabinin sosial edaletsizliye ve patriarxal prinsiplere qarşi mubarize aparan tesiri gosterilir,ikinci eserinde oktyabr inqilabinin sosial edalesizliye ve patriarxal prinsiplere qarşi mubarize aparan tesiri gosterilir,0.07142857142857142,0.00819672131147541
kendin yerinde muasir qesebenin inşasi planlaşdirilirdi,kendin yerinde muasir qasabanin inşasi planlaşdirilirdi,0.16666666666666666,0.05454545454545454
medalin arxa terefinin aşaği hissesinde medalin nomresi hekk olunmuşdur,medağin arxa terefinin aşaği hissesinde medağinin omresi etki olunmuşdur,0.4444444444444444,0.09859154929577464
olke erazisinden axan niger cayinin adi ile adlanir,olke rezisinde axan nijertainin adi ile adlanilir,0.5,0.17647058823529413
tacik xalqinin kulinariya inceseneti esrler boyu formalaşmişdir,taciq xalqinin kulinariya inceseneti esrler boyu formalaşmişdir,0.14285714285714285,0.015873015873015872
mescidin cenub hissesinde turbe yerleşir,meskudun cani pislesinde turbe yerleşir,0.6,0.2
neqliyyat kosovo iqtisadiyyatinda muhum rol oynayir,neqliyyet kosova iqtisadiyatina muhum rol oynayir,0.5,0.0784313725490196
seher alim ve ixtiraci nikola teslanin doğulduğu yerdir,seher alim ve ixtirahatli nikola tesvanin doğulduğu yeridir,0.375,0.10909090909090909
uizli ailesinin evi,bu izli ailesinin evi,0.6666666666666666,0.10526315789473684
defn merasiminin sonunda yaylim ateşi acildi ve mayor memmedov uğrunda sehid olduğu torpağa tapşirildi,defin meraciminin sonunda yayli mateş acildi ve mayur memmedov uğrunda sehid olduq torpağa tapişirildi,0.5,0.08823529411764706
orta esrlerde geniş yayilmiş bu oyun klassik edebiyyatimizin numunelerinden de bellidir,orta esrlerde geniş yayilmiş bu oyun klasik edebiyyadimizin numunelerinden de bellidir,0.18181818181818182,0.022988505747126436
bir nece film ve serialda rol alib,bulune cerceyin ve seviyalida rol alib,0.5714285714285714,0.38235294117647056
tarixen azerbaycana gelen seyyahlar ve tacirler de buradan ozleri ile xalca aparmişlar,terixen azerbaycana gelen seyyeqler ve tacirler de burada ozleri ile xalcabarmişlar,0.4166666666666667,0.09302325581395349
alimin rehberliyi ile onlarla elmler namizedi hazirlanmişdir,ademin rehberi deyile onlarla elmler namizede hazirlama,0.7142857142857143,0.23333333333333334
lakin bir muddet kecenden sonra onu moskvani terk etmemek serti ile azadliğa buraxirlar,lacin birbirinden kecenden sonra mosqvan terk etmeme kerdili azadliğa buraxirlar,0.6153846153846154,0.21839080459770116
london işci ailesinden gelirdi,london işce ailesinden gelirdi,0.25,0.03333333333333333
hazirda xarabaliqlari qalir,hazirda xarabaliqlar qaldi,0.6666666666666666,0.1111111111111111
ovuc ici menasi da movcuddur,o ve tikcemeye nasida movcutdur,1.0,0.42857142857142855
bu kitabla bağli maraqli bir fakt vardir,bu citabla bağli maraqli bir feqd var,0.42857142857142855,0.175
dinozavrlar arasinda en uzun boyuna malik imiş,dinazavrda arasinda en uzun boyuna mal icilmiş,0.42857142857142855,0.15217391304347827
avstraliyanin en yaxşi universitetlerinden sayilir ve dunyanin iyirmi en yaxşi universitetleri siyahisina daxildir,avustraliyanin en yaxşi universitetlerinden sayilir ve dunyanin 20 en yaxşi universitetleri siyasina daxildir,0.23076923076923078,0.07894736842105263
bakinin bine qesebesinde boyuk qerenfil saheleri var,bacinin bina qesebesinde 3 qeranfi saheleri var,0.5714285714285714,0.17307692307692307
verdiyini menim ucun bereketli et,verdiyi menim ucun beraketleyik,0.6,0.21212121212121213
korfezin sahilinde turkmenbaşi limani yerleşir,torvezim sahelinde duşmeyin başi limani yerleşir,0.8,0.21739130434782608
şuşada doktor mirze huseyn bey kimi taninirdi,şuşa da doktor mirza huseyn bey kimi taninirdi,0.42857142857142855,0.044444444444444446
şimalinda ele de boyuk olmayan gol vardir,şimalinda ele de buyuc olmayan gol vardir,0.14285714285714285,0.04878048780487805
atasi qizina mukemmel tehsil vermek arzusunda idi,atasi qizina mukemmil tehsil vermek arzusundaydi,0.42857142857142855,0.061224489795918366
yeni cenubi uels universitetinde muxtelif teqaudler movcuddur,yeni cenubi wales universitetinde muxtelif teqayitler movcuddur,0.2857142857142857,0.09836065573770492
quliyev yeniyetmeler arasinda azerbaycan cempionatinin burunc medalinin sahibi oldu,huliyev yeniyyetmeler arasinda azerbaycan cempiyatinin burunc medaninin sahibi oldu,0.4444444444444444,0.060240963855421686
ion kristallarda meydana gelir,ion qiristallarda meydana gelir,0.25,0.06666666666666667
qesebe deniz sahilinde yerleşdiyi ucun bele adlandirilmişdir,qesebe deniz halinde yerleşdiyi ucun bele adlandirilmişdir,0.14285714285714285,0.05
